# --- TILES ---
tile 37 30
tile 38 30
tile 39 30
tile 42 30
tile 21 31
tile 22 31
tile 23 31
tile 24 31
tile 25 31
tile 26 31
tile 28 31
tile 42 31
tile 28 32
tile 42 32
tile 28 33
tile 29 33
tile 30 33
tile 31 33
tile 32 33
tile 33 33
tile 34 33
tile 35 33
tile 36 33
tile 37 33
tile 38 33
tile 39 33
tile 40 33
tile 41 33
tile 42 33

# --- PLAYERS ---
player 14 16

# --- KNIFEENEMYS ---
knifeEnemy 31 2   30 1   30 3
knifeEnemy 25 7   25 7   25 12
knifeEnemy 10 8   10 8   13 8   13 11  10 11
knifeEnemy 19 11  19 11  19 8   16 8   16 11
knifeEnemy 30 12  30 12  30 7
knifeEnemy 27 17  28 16  28 18
knifeEnemy 44 17  44 17  47 17
knifeEnemy 44 24  44 24  41 24  41 26  44 26

# --- PISTOLENEMYS ---
pistolEnemy 1 15    1 15   1 18
pistolEnemy 6 18    6 18   6 15
pistolEnemy 6 25    6 25   6 27
pistolEnemy 14 25  14 25  14 27
pistolEnemy 23 25  22 25  22 23  25 23  25 25
pistolEnemy 10 27  10 27  10 25
pistolEnemy 24 28  22 28  22 30  25 30  25 28

# --- RIFLEENEMYS ---
rifleEnemy 35 7   35 7   38 7   38 12  35 12
rifleEnemy 48 8   48 8   44 8   44 16  48 16
rifleEnemy 38 12  38 12  35 12  35 7   38 7 

# --- SHOTGUNENEMYS ---
shotgunEnemy 43 12  43 12  43 7
shotgunEnemy 16 26  16 25  16 27
shotgunEnemy 41 26  41 26  44 26  44 24  41 24
shotgunEnemy 30 28  30 28  34 28  34 31  30 31
shotgunEnemy 34 31  34 31  30 31  30 28  34 28

# --- PISTOLITEMS ---
pistolItem 13 9

# --- RIFLEITEMS ---
rifleItem 34 1
rifleItem 9 25

# --- SHOTGUNITEMS ---
shotgunItem 39 23

# --- PISTOLAMMOITEMS ---
pistolAmmoItem 24 2
pistolAmmoItem 16 9
pistolAmmoItem 6 15
pistolAmmoItem 34 17

# --- RIFLEAMMOITEMS ---
rifleAmmoItem 24 16
rifleAmmoItem 13 27

# --- SHOTGUNAMMOITEMS ---
shotgunAmmoItem 39 26
shotgunAmmoItem 39 27

# --- HEALITEMS ---
healItem 34 3
healItem 1 18
healItem 24 18
healItem 42 18
healItem 22 30

