# --- TILES ---
tile 30 26
tile 3 27
tile 6 27
tile 15 27
tile 18 27
tile 23 27
tile 26 27
tile 27 27
tile 28 27
tile 29 27
tile 30 27
tile 3 28
tile 6 28
tile 15 28
tile 18 28
tile 23 28
tile 26 28
tile 0 29
tile 1 29
tile 2 29
tile 3 29
tile 6 29
tile 7 29
tile 8 29
tile 9 29
tile 15 29
tile 18 29
tile 21 29
tile 22 29
tile 23 29
tile 26 29
tile 27 29
tile 28 29
tile 0 30
tile 9 30
tile 15 30
tile 18 30
tile 21 30
tile 28 30
tile 0 31
tile 9 31
tile 14 31
tile 15 31
tile 18 31
tile 19 31
tile 21 31
tile 28 31
tile 0 32
tile 3 32
tile 6 32
tile 9 32
tile 10 32
tile 11 32
tile 12 32
tile 13 32
tile 14 32
tile 19 32
tile 20 32
tile 21 32
tile 28 32
tile 0 33
tile 28 33
tile 0 34
tile 28 34
tile 0 35
tile 3 35
tile 6 35
tile 9 35
tile 10 35
tile 11 35
tile 12 35
tile 13 35
tile 14 35
tile 19 35
tile 20 35
tile 21 35
tile 28 35
tile 0 36
tile 9 36
tile 14 36
tile 15 36
tile 16 36
tile 17 36
tile 18 36
tile 19 36
tile 21 36
tile 28 36
tile 0 37
tile 9 37
tile 21 37
tile 28 37
tile 0 38
tile 1 38
tile 2 38
tile 3 38
tile 4 38
tile 5 38
tile 6 38
tile 7 38
tile 8 38
tile 9 38
tile 21 38
tile 22 38
tile 23 38
tile 26 38
tile 27 38
tile 28 38
tile 23 39
tile 26 39
tile 21 40
tile 22 40
tile 23 40
tile 26 40
tile 27 40
tile 28 40
tile 21 41
tile 28 41
tile 21 42
tile 28 42
tile 21 43
tile 23 43
tile 26 43
tile 28 43
tile 21 44
tile 28 44
tile 21 45
tile 22 45
tile 23 45
tile 24 45
tile 25 45
tile 26 45
tile 27 45
tile 28 45

# --- PLAYERS ---
player 16 34

# --- KNIFEENEMYS ---
knifeEnemy 16 13  16 13  16 17
knifeEnemy 8 18    8 18  13 18
knifeEnemy 29 22  29 22  29 26
knifeEnemy 28 26  28 26  28 22
knifeEnemy 23 36  23 36  26 36
knifeEnemy 22 41  22 41  22 44
knifeEnemy 27 44  27 44  27 41

# --- PISTOLENEMYS ---
pistolEnemy 4 2     4 2    8 3    7 7    3 6
pistolEnemy 17 2   17 2   18 6   14 7   13 3
pistolEnemy 21 17  21 17  21 14
pistolEnemy 6 24    6 24  15 24
pistolEnemy 26 31  26 31  23 31

# --- RIFLEENEMYS ---
rifleEnemy 5 13    5 13  15 13   5 13   5 18
rifleEnemy 28 14  28 14  28 17
rifleEnemy 1 30    1 30   1 37
rifleEnemy 8 37    8 37   8 30

# --- SHOTGUNENEMYS ---
shotgunEnemy 4 8    4 8    8 8 
shotgunEnemy 17 8  17 8   13 8

# --- PISTOLITEMS ---
pistolItem 17 33

# --- RIFLEITEMS ---
rifleItem 4 33

# --- SHOTGUNITEMS ---
shotgunItem 5 18

# --- PISTOLAMMOITEMS ---
pistolAmmoItem 25 43

# --- RIFLEAMMOITEMS ---
rifleAmmoItem 25 16
rifleAmmoItem 5 34
rifleAmmoItem 24 43

# --- SHOTGUNAMMOITEMS ---
shotgunAmmoItem 4 12
shotgunAmmoItem 17 12

# --- HEALITEMS ---
healItem 11 6
healItem 24 23
healItem 14 24
healItem 23 44

